state	tree1	tree2	R-F	Nodal	Nodal L2	Quartet	MatchingSplit
1	0	1	1.0	6.0	2.449489742783178	2.0	2.0
2	0	2	1.0	6.0	2.449489742783178	2.0	2.0
3	0	3	1.0	6.0	2.449489742783178	2.0	2.0
4	0	4	1.0	6.0	2.449489742783178	2.0	2.0
5	0	5	2.0	10.0	3.7416573867739413	4.0	3.0
6	0	6	2.0	8.0	4.0	5.0	4.0
7	0	7	2.0	10.0	3.7416573867739413	4.0	3.0
8	0	8	2.0	10.0	3.7416573867739413	4.0	3.0
9	0	9	2.0	10.0	3.7416573867739413	4.0	3.0
10	0	10	2.0	10.0	3.7416573867739413	4.0	3.0
11	0	11	2.0	10.0	3.7416573867739413	4.0	3.0
12	0	12	2.0	8.0	4.0	5.0	4.0
13	0	13	2.0	10.0	3.7416573867739413	4.0	3.0
14	0	14	2.0	10.0	3.7416573867739413	4.0	3.0
15	1	2	1.0	6.0	2.449489742783178	2.0	2.0
16	1	3	2.0	10.0	3.7416573867739413	4.0	3.0
17	1	4	2.0	10.0	3.7416573867739413	4.0	3.0
18	1	5	2.0	8.0	4.0	5.0	4.0
19	1	6	2.0	10.0	3.7416573867739413	4.0	3.0
20	1	7	2.0	10.0	3.7416573867739413	4.0	3.0
21	1	8	1.0	6.0	2.449489742783178	2.0	2.0
22	1	9	2.0	10.0	3.7416573867739413	4.0	3.0
23	1	10	2.0	10.0	3.7416573867739413	4.0	3.0
24	1	11	1.0	6.0	2.449489742783178	2.0	2.0
25	1	12	2.0	10.0	3.7416573867739413	4.0	3.0
26	1	13	2.0	10.0	3.7416573867739413	4.0	3.0
27	1	14	2.0	8.0	4.0	5.0	4.0
28	2	3	2.0	10.0	3.7416573867739413	4.0	3.0
29	2	4	2.0	10.0	3.7416573867739413	4.0	3.0
30	2	5	2.0	10.0	3.7416573867739413	4.0	3.0
31	2	6	2.0	10.0	3.7416573867739413	4.0	3.0
32	2	7	1.0	6.0	2.449489742783178	2.0	2.0
33	2	8	2.0	10.0	3.7416573867739413	4.0	3.0
34	2	9	2.0	8.0	4.0	5.0	4.0
35	2	10	2.0	8.0	4.0	5.0	4.0
36	2	11	2.0	10.0	3.7416573867739413	4.0	3.0
37	2	12	2.0	10.0	3.7416573867739413	4.0	3.0
38	2	13	1.0	6.0	2.449489742783178	2.0	2.0
39	2	14	2.0	10.0	3.7416573867739413	4.0	3.0
40	3	4	1.0	6.0	2.449489742783178	2.0	2.0
41	3	5	1.0	6.0	2.449489742783178	2.0	2.0
42	3	6	2.0	10.0	3.7416573867739413	4.0	3.0
43	3	7	2.0	10.0	3.7416573867739413	4.0	3.0
44	3	8	2.0	8.0	4.0	5.0	4.0
45	3	9	2.0	10.0	3.7416573867739413	4.0	3.0
46	3	10	1.0	6.0	2.449489742783178	2.0	2.0
47	3	11	2.0	10.0	3.7416573867739413	4.0	3.0
48	3	12	2.0	10.0	3.7416573867739413	4.0	3.0
49	3	13	2.0	8.0	4.0	5.0	4.0
50	3	14	2.0	10.0	3.7416573867739413	4.0	3.0
51	4	5	2.0	10.0	3.7416573867739413	4.0	3.0
52	4	6	2.0	10.0	3.7416573867739413	4.0	3.0
53	4	7	2.0	8.0	4.0	5.0	4.0
54	4	8	2.0	10.0	3.7416573867739413	4.0	3.0
55	4	9	1.0	6.0	2.449489742783178	2.0	2.0
56	4	10	2.0	10.0	3.7416573867739413	4.0	3.0
57	4	11	2.0	8.0	4.0	5.0	4.0
58	4	12	2.0	10.0	3.7416573867739413	4.0	3.0
59	4	13	2.0	10.0	3.7416573867739413	4.0	3.0
60	4	14	1.0	6.0	2.449489742783178	2.0	2.0
61	5	6	1.0	6.0	2.449489742783178	2.0	2.0
62	5	7	1.0	6.0	2.449489742783178	2.0	2.0
63	5	8	2.0	10.0	3.7416573867739413	4.0	3.0
64	5	9	2.0	10.0	3.7416573867739413	4.0	3.0
65	5	10	1.0	6.0	2.449489742783178	2.0	2.0
66	5	11	2.0	10.0	3.7416573867739413	4.0	3.0
67	5	12	2.0	10.0	3.7416573867739413	4.0	3.0
68	5	13	2.0	10.0	3.7416573867739413	4.0	3.0
69	5	14	2.0	8.0	4.0	5.0	4.0
70	6	7	1.0	6.0	2.449489742783178	2.0	2.0
71	6	8	1.0	6.0	2.449489742783178	2.0	2.0
72	6	9	1.0	6.0	2.449489742783178	2.0	2.0
73	6	10	2.0	10.0	3.7416573867739413	4.0	3.0
74	6	11	2.0	10.0	3.7416573867739413	4.0	3.0
75	6	12	2.0	8.0	4.0	5.0	4.0
76	6	13	2.0	10.0	3.7416573867739413	4.0	3.0
77	6	14	2.0	10.0	3.7416573867739413	4.0	3.0
78	7	8	2.0	10.0	3.7416573867739413	4.0	3.0
79	7	9	2.0	10.0	3.7416573867739413	4.0	3.0
80	7	10	2.0	10.0	3.7416573867739413	4.0	3.0
81	7	11	2.0	8.0	4.0	5.0	4.0
82	7	12	2.0	10.0	3.7416573867739413	4.0	3.0
83	7	13	1.0	6.0	2.449489742783178	2.0	2.0
84	7	14	2.0	10.0	3.7416573867739413	4.0	3.0
85	8	9	1.0	6.0	2.449489742783178	2.0	2.0
86	8	10	2.0	10.0	3.7416573867739413	4.0	3.0
87	8	11	1.0	6.0	2.449489742783178	2.0	2.0
88	8	12	2.0	10.0	3.7416573867739413	4.0	3.0
89	8	13	2.0	8.0	4.0	5.0	4.0
90	8	14	2.0	10.0	3.7416573867739413	4.0	3.0
91	9	10	2.0	8.0	4.0	5.0	4.0
92	9	11	2.0	10.0	3.7416573867739413	4.0	3.0
93	9	12	2.0	10.0	3.7416573867739413	4.0	3.0
94	9	13	2.0	10.0	3.7416573867739413	4.0	3.0
95	9	14	1.0	6.0	2.449489742783178	2.0	2.0
96	10	11	1.0	6.0	2.449489742783178	2.0	2.0
97	10	12	1.0	6.0	2.449489742783178	2.0	2.0
98	10	13	2.0	10.0	3.7416573867739413	4.0	3.0
99	10	14	2.0	10.0	3.7416573867739413	4.0	3.0
100	11	12	1.0	6.0	2.449489742783178	2.0	2.0
101	11	13	2.0	10.0	3.7416573867739413	4.0	3.0
102	11	14	2.0	10.0	3.7416573867739413	4.0	3.0
103	12	13	1.0	6.0	2.449489742783178	2.0	2.0
104	12	14	1.0	6.0	2.449489742783178	2.0	2.0
105	13	14	1.0	6.0	2.449489742783178	2.0	2.0
---------
Summary:
Name	Avg	Std	Min	Max	Count
R-F	1.7142857142857142	0.45175395145262587	1.0	2.0	105
Nodal	8.571428571428571	1.7612611437054233	6.0	10.0	105
Nodal L2	3.409372718951733	0.6133332399826923	2.449489742783178	4.0	105
Quartet	3.5714285714285716	1.0497813183356477	2.0	5.0	105
MatchingSplit	2.857142857142857	0.6388765649999396	2.0	4.0	105
